2;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;2;2;2
2;2;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;1;B;2;2
2;6;6;2;2;1;1;6;6;6;6;6;6;6;1;2;1;6;6;6;6;6;6;6;2;1;1;1;1;1;2
2;2;2;2;2;2;2;6;6;6;6;6;6;1;B;1;B;1;6;6;6;6;6;6;2;1;1;1;1;1;2
2;2;1;1;1;1;C;2;2;2;2;2;2;2;1;C;2;1;2;2;2;2;2;2;2;C;1;1;1;2;1
2;1;1;1;1;C;1;6;6;6;6;6;6;2;1;4;1;2;6;6;6;6;6;6;1;1;C;1;1;1;2
2;1;1;C;1;1;6;6;6;6;6;6;6;E;1;4;1;E;6;6;6;6;6;6;6;E;1;C;1;1;2
2;1;C;4;1;E;6;6;6;6;6;6;6;6;7;7;7;6;6;6;6;6;6;6;7;1;C;4;1;1;1
2;2;1;4;1;2;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;1;1;4;2;1;1
2;1;2;4;2;1;7;6;6;6;6;6;6;6;7;7;7;6;6;6;6;6;6;6;7;1;C;4;1;1;2
1;1;1;4;1;7;6;6;6;6;6;6;6;7;1;4;2;7;7;6;6;6;6;6;7;1;2;4;B;1;2
2;1;B;4;1;7;6;6;6;6;6;6;7;1;1;4;1;1;1;7;6;6;6;6;6;7;1;4;2;1;2
2;1;1;4;1;7;6;6;6;6;6;7;1;1;C;4;B;C;1;1;7;6;6;6;6;7;B;4;1;2;2
2;2;1;4;B;7;6;6;6;6;7;1;2;B;1;4;4;4;4;4;9;9;9;9;9;9;4;4;A;1;2
2;2;A;4;4;9;9;9;9;9;9;4;4;4;4;4;1;2;2;1;7;6;6;6;6;7;1;1;1;1;1
2;1;2;2;1;7;6;6;6;6;7;1;2;1;1;2;B;1;1;7;6;6;6;6;6;7;1;1;2;2;1
2;1;1;1;1;7;6;6;6;6;6;6;E;2;1;1;2;E;6;6;6;6;6;6;7;1;1;2;6;6;2
1;1;2;1;1;7;6;6;6;6;6;6;6;6;2;1;1;6;6;6;6;6;6;6;7;1;1;1;2;2;2
1;2;1;1;1;1;7;6;6;6;6;6;6;6;7;7;7;6;6;6;6;6;6;7;1;1;1;1;1;1;2
2;1;B;B;1;1;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;1;1;1;B;B;1;2
2;B;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;1;2;C;1;1;1;1
2;1;1;1;C;1;E;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;E;1;1;B;B;1;2
2;2;B;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;2;1;1;2
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
